docId,filename,0 règne serait cabinet,1 déjà toute conseil,2 attendez oubliez épousez,3 exprès nation affaire,4 mieux prenez monsieur,5 dernière disais jamais,6 de à ne,7 corps kiril виконт,8 sacrifices descendre serai,9 général venez vienne
0,Анна Каренина. 19_0.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.0916334319149982,0.03409822477500343,0.5969322565046857,0.042729307646295574,0.044917162340033796,0.07242461345363328
1,Анна Каренина. 19_1.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.06088451104093113,0.03271554842099289,0.6267931763243385,0.040996642567816606,0.05661238173570856,0.06948780952523338
2,Анна Каренина. 19_2.txt,0.048408062778433285,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.07440111259554884,0.03271554842099289,0.6132765747697209,0.040996642567816606,0.043095780181090844,0.06948780952523338
3,Анна Каренина. 19_3.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6164238853080188,0.04213570565699306,0.04429316634319766,0.08531063068657833
4,Анна Каренина. 19_4.txt,0.033973060576995305,0.027112350683675554,0.0517815114324546,0.023003206015237726,0.07244275294148939,0.04501524374834972,0.5971341266407846,0.03991754350658145,0.04196142836533706,0.06765877608909461
5,Анна Каренина. 19_5.txt,0.03268266820450523,0.026082547365154956,0.024492829361924085,0.02212947956608229,0.06969117347675373,0.03064450087982899,0.6377579800216565,0.038401362956622026,0.04036761532106618,0.07774984284640603
6,Анна Каренина. 19_6.txt,0.049071340536212225,0.04192861834905367,0.02650640495347743,0.02394876223243331,0.06171873863957587,0.03316381043264381,0.5942759630667453,0.04155837050316709,0.05738807345863607,0.07043991782805523
7,Анна Каренина. 19_7.txt,0.0453436055332217,0.026082547365154956,0.024492829361924085,0.02212947956608229,0.0823521108054702,0.04330543820854546,0.5744532933780742,0.038401362956622026,0.04036761532106618,0.10307171750383896
8,Анна Каренина. 19_8.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6251079796851519,0.042729307646295574,0.044917162340033796,0.07242461345363328
9,Война и мир. 10_0.txt,0.06454182263348798,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.5969322565046857,0.042729307646295574,0.044917162340033796,0.07242461345363328
10,Война и мир. 10_1.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.07754557032476514,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.07242461345363328
11,Война и мир. 10_10.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.044917162340033796,0.08651247504386635
12,Война и мир. 10_11.txt,0.03353175510430005,0.02676016490673555,0.038119011522477986,0.022704397473067853,0.0585118662922624,0.044430501806250175,0.6283470301018323,0.039399020002757544,0.04141635507299223,0.06677989771732382
13,Война и мир. 10_12.txt,0.03268266820450523,0.026082547365154956,0.024492829361924085,0.03479041689479877,0.057030236148037254,0.03064450087982899,0.6124361053642235,0.038401362956622026,0.06568948997849913,0.07774984284640603
14,Война и мир. 10_13.txt,0.04477669065900077,0.025756446608830127,0.024186604280928777,0.03435544476176982,0.0563172075131845,0.03026136365116015,0.6422869623727203,0.03792124445712345,0.03986291347185893,0.0642751222234232
15,Война и мир. 10_14.txt,0.034891461223815576,0.027845284366476174,0.03966472999369364,0.023625056355611233,0.06088451104093113,0.05974875153022831,0.5862433716604853,0.040996642567816606,0.043095780181090844,0.0830044110798511
16,Война и мир. 10_15.txt,0.03586089611209298,0.04251109704182187,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.5886395835254469,0.05602785654827905,0.04429316634319766,0.08531063068657833
17,Война и мир. 10_16.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6164238853080188,0.04213570565699306,0.05818531723448365,0.07141847979529235
18,Война и мир. 10_17.txt,0.03268266820450523,0.03874348469387143,0.024492829361924085,0.03479041689479877,0.06969117347675373,0.03064450087982899,0.62509704269294,0.038401362956622026,0.04036761532106618,0.06508890551768955
19,Война и мир. 10_18.txt,0.03353175510430005,0.02676016490673555,0.025129146458802147,0.022704397473067853,0.0585118662922624,0.031440636742574336,0.654326760229184,0.039399020002757544,0.04141635507299223,0.06677989771732382
20,Война и мир. 10_19.txt,0.03536953716484402,0.028226814977685463,0.04020820832484564,0.02394876223243331,0.06171873863957587,0.04686561380401202,0.6079777664381135,0.04155837050316709,0.04368627008726786,0.07043991782805523
21,Война и мир. 10_2.txt,0.044223776605147834,0.02543839940396211,0.0238879418915229,0.021582958593832694,0.08031830085843492,0.04223594490560743,0.5973110693350248,0.03745298321022575,0.039370675998259844,0.08817794919798172
22,Война и мир. 10_20.txt,0.04214224369531446,0.0242410601082795,0.04629767244370581,0.020567087900432796,0.07653786419443302,0.02848092931323793,0.5927308138964074,0.047457185571435245,0.04928461604006403,0.07226052683668983
